state_name,district_name,market_center_name,Variety,group_name,Arrival(Tonnes),MIN,MAX,MODAL(Per Q),date_arrival
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,130,1620,1720,1670,20-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,130,1640,1740,1690,19-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1640,1740,1690,18-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,90,1640,1740,1690,17-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1610,1710,1660,16-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,70,1610,1710,1660,14-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,100,1610,1710,1660,13-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1620,1730,1670,12-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1610,1710,1660,10-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,90,1600,1700,1650,09-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,100,1600,1700,1650,08-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1600,1700,1650,07-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1600,1700,1650,06-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1600,1700,1650,05-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,90,1600,1700,1650,04-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,90,1600,1700,1650,03-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,100,1600,1700,1650,02-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,90,1590,1690,1640,01-Aug-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,80,1590,1700,1640,30-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,80,1590,1690,1640,29-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,90,1580,1700,1630,28-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1570,1670,1620,27-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,90,1570,1670,1620,26-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1560,1660,1610,25-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1550,1650,1600,24-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,130,1560,1660,1610,23-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,110,1550,1650,1600,22-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,120,1520,1640,1590,21-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,120,1530,1630,1580,20-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,130,1530,1630,1580,19-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,120,1530,1630,1580,18-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,170,1530,1630,1580,17-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,100,1540,1640,1590,16-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,90,1520,1620,1570,15-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,70,1480,1580,1530,14-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,60,1480,1590,1530,13-Jul-22
Uttar Pradesh,Lucknow,Lucknow,Desi,Vegetables,80,1480,1580,1530,12-Jul-22
